Year,Title,Journal,Authors,Category,Endorsement
1991,A 20-year Record Of Alpine Grasshopper Abundance| With Interpretations For Climate Change,New Zealand Journal Of Ecology,White| Eg; Sedcole| Jr,2,4
1991,A Geological Perspective On Climatic-change - Computer-simulation Of Ancient Climates,Geoscience Canada,Fawcett| Pj; Barron| Ej,4,4
1991,A Spatial Model For Studying The Effects Of Climatic-change On The Structure Of Landscapes Subject To Large Disturbances,Ecological Modelling,Baker| Wl; Egbert| Sl; Frazier| Gf,2,4
1991,Abrupt Deep-sea Warming| Palaeoceanographic Changes And Benthic Extinctions At The End Of The Paleocene,Nature,Kennett| Jp; Stott| Ld,5,4
1991,Advance Of East Antarctic Outlet Glaciers During The Hypsithermal - Implications For The Volume State Of The Antarctic Ice-sheet Under Global Warming,Geology,Domack| Ew; Jull| Ajt; Nakao| S,5,4
1991,An Analytical Model Of Earth-observational Remote-sensing Systems,Ieee Transactions On Systems Man And Cybernetics,Kerekes| Jp; Landgrebe| Da,4,4
1991,An Energy-balance Climate Model With Hydrological Cycle .2. Stability And Sensitivity To External Forcing,Journal Of Geophysical Research-atmospheres,Jentsch| V,4,3
1991,Antarctica And Global Change,Climatic Change,Budd| Wf,2,4
1991,Anticipated Public-health Consequences Of Global Climate Change,Environmental Health Perspectives,Longstreth| J,2,3
1991,Approaches To The Conservation Of Coastal Wetlands In The Western-hemisphere,Wilson Bulletin,Bildstein| Kl; Bancroft| Gt; Dugan| Pj; Gordon| Dh; Erwin| Rm; Nol| E; Payne| Lx; Senner| Se,2,4
1991,Atmospheric Fate Of Cf2h2| Ch3cf3| Chf2cf3| And Ch3cfcl2 - Rate Coefficients For Reactions With Oh And Uv Absorption Cross-sections Of Ch3cfcl2,Journal Of Physical Chemistry,Talukdar| R; Mellouki| A; Gierczak| T; Burkholder| Jb; Mckeen| Sa; Ravishankara| Ar,4,4
1991,Atmospheric Methane - Its Contribution To Global Warming,Applied Energy,Badr| O; Probert| Sd; Ocallaghan| Pw,2,2
1991,Atmospheric Pollutants And Ectomycorrhizae - More Questions Than Answers,Environmental Pollution,Dighton| J; Jansen| Ae,4,4
1991,Benefit-cost Implications Of Acid-rain Controls - An Evaluation Of The Napap Integrated Assessment,Journal Of The Air & Waste Management Association,Rubin| Es,3,4
1991,Biological Diversity And Neptune Realm,Marine Technology Society Journal,Lovejoy| Te; Dwight| Rh,2,2
1991,Biological Diversity| Ecology| And Global Climate Change,Environmental Health Perspectives,Jutro| Pr,2,2
1991,Biological Response To Climate Change - An Agenda For Research,Ecological Applications,Mooney| Ha,4,4
1991,Biotechnological Advances In Biomass Energy And Chemical Production - Impacts On Wildlife And Habitat,Critical Reviews In Biotechnology,Beyea| J; Keeler| Kh,3,4
1991,Boreal Forest Sensitivity To Global Warming - Implications For Forest Management In Western Interior Canada,Forestry Chronicle,Singh| T; Wheaton| Ee,2,3
1991,Buying Environmental Insurance - Prospects For Trading Of Global Climate-protection Services,Climatic Change,Swisher| Jn; Masters| Gm,3,2
1991,Buying Greenhouse Insurance,Energy Policy,Manne| As; Richels| Rg,3,3
1991,Changes In Number Of Days Exceeding Certain Values Of Maximum And Minimum Temperatures,Energy And Buildings,Omoto| Y; Hamotani| K,2,3
1991,Chlorophyll-a Distribution In The Southern Benguela| Possible Effects Of Global Warming On Phytoplankton And Its Implications For Pelagic Fish,South African Journal Of Science,Brown| Pc; Cochrane| Kl,2,4
1991,Climate Change And Isoprene Emissions From Vegetation,Chemosphere,Turner| Dp; Baglio| Jv; Wones| Ag; Pross| D; Vong| R; Mcveety| Bd; Phillips| Dl,2,4
1991,Climate Change Negotiations Polarize,Ambio,Collins| Cp,3,2
1991,Climate Change Perceptions And Energy-use Decisions In Northern Sweden,Global Environmental Change-human And Policy Dimensions,Lofstedt| Re,3,4
1991,Climate| Forests| And Fire - A North-american Perspective,Environment International,Sedjo| Ra,2,4
1991,Climatology And Society,Interdisciplinary Science Reviews,Gregory| S,4,2
1991,Co-2 Emissions Reduction By Price Deregulation And Fossil-fuel Taxation - A Case-study Of Indonesia,Energy Policy,Sasmojo| S; Tasrif| M,3,3
1991,Coal-bed Methane In The Uk,Energy Policy,Mitchell| C,3,2
1991,Comparisons Of Observed Northern-hemisphere Surface Air-temperature Records,Geophysical Research Letters,Elsner| Jb; Tsonis| Aa,4,5
1991,Cost And Performance Of Co2 Storage In Forestry Projects,Biomass & Bioenergy,Swisher| Jn,3,4
1991,Could Reducing Fossil-fuel Emissions Cause Global Warming,Nature,Wigley| Tml,4,4
1991,Countermeasures For Mitigating The Effects Of Global Environment Changes,Space Power,Jenkins| Lm,3,4
1991,Cryospheric Products From The Dmsp-ssm .1. Status And Research Applications,Global And Planetary Change,Barry| Rg,4,4
1991,Detection Of Global Warming Through Spatial Temperature-variations Below The Earth Surface,Kerntechnik,Winterberg| F,4,4
1991,Determinants Of Plant-distribution - Evidence From Pine Invasions,American Naturalist,Richardson| Dm; Bond| Wj,4,4
1991,Development Of Early Eocene Warm Climates| As Inferred From Clay Mineral Variations In Oceanic Sediments,Global And Planetary Change,Robert| C; Chamley| H,5,4
1991,Drought - Opportunities For Impact Mitigation,Episodes,Riebsame| We,2,4
1991,Effect Of Encapsulated Calcium Carbide On Dinitrogen| Nitrous-oxide| Methane| And Carbon-dioxide Emissions From Flooded Rice,Biology And Fertility Of Soils,Bronson| Kf; Mosier| Ar,3,3
1991,Effects Of Climate On Reproduction In The European Wild Rabbit (oryctolagus-cuniculus),Journal Of Zoology,Bell| Dj; Webb| Nj,2,4
1991,Energy Analysis Of Renewable Energy-sources,Energy Policy,Mortimer| Nd,3,4
1991,Energy And Technology Options For Co2 Emission Reduction Towards Symbiotic Use Of Nuclear-energy And Fossil-fuels,Journal Of The Atomic Energy Society Of Japan,Yasukawa| S; Sato| O; Tadokoro| Y; Kajiyama| T; Shiraki| H; Konta| M; Shimoyamada| Y,3,4
1991,Energy Efficiency - A No Regrets Response To Global Climate Change For Washington-state,Northwest Environmental Journal,Watson| Rh; Byers| R; Lesser| J,3,4
1991,Environmental Impacts Of Energy Facilities - Fuel-cell Technology Compared With Coal And Conventional Gas Technology,Journal Of Power Sources,Seip| Kl; Thorstensen| B; Wang| H,3,3
1991,Environmental Productivity Indexes And Productivity For Opuntia-ficus-indica Under Current And Elevated Atmospheric Co2 Levels,Plant Cell And Environment,Nobel| Ps,2,3
1991,Evolving Pliocene Pleistocene Climate - A North Pacific Perspective,Quaternary Science Reviews,Morley| Jj; Dworetzky| Ba,5,4
1991,Fire And Drought Experiments In Northern Wetlands - A Climate Change Analog,Canadian Journal Of Botany-revue Canadienne De Botanique,Hogenbirk| Jc; Wein| Rw,2,4
1991,Fish And Fisheries Ecology,Ecological Applications,Magnuson| Jj,2,4
1991,Fuel Ethanol From Cellulosic Biomass,Science,Lynd| Lr; Cushman| Jh; Nichols| Rj; Wyman| Ce,3,3
1991,Getting Started - No-regrets Strategies For Reducing Greenhouse Gas Emissions,Energy Policy,Mills| E; Wilson| D; Johansson| Tb,3,4
1991,Global Atmospheric Changes,Environmental Health Perspectives,Piver| Wt,2,2
1991,Global Change And Terrestrial Hydrology - A Review,Tellus Series A-dynamic Meteorology And Oceanography,Dickinson| Re,2,4
1991,Global Climate Change,Journal Of Engineering For Gas Turbines And Power-transactions Of The Asme,Hammerle| Rh; Shiller| Jw; Schwarz| Mj,3,6
1991,Global Climate Change - Implications For Thailand Energy-systems,Energy,Patanavanich| S; Phantumvanit| D,3,4
1991,Global Climate Change And Infectious-diseases,Environmental Health Perspectives,Shope| R,2,4
1991,Global Warming - Causes| Consequences| And Some Implications For Latin-america,Interciencia,Castro| G,3,2
1991,Global Warming - Evidence For Asymmetric Diurnal Temperature-change,Geophysical Research Letters,Karl| Tr; Kukla| G; Razuvayev| Vn; Changery| Mj; Quayle| Rg; Heim| Rr; Easterling| Dr; Fu| Cb,4,2
1991,Global Warming - What Does The Science Tell Us,Energy,Jastrow| R; Nierenberg| W; Seitz| F,2,6
1991,Global Warming And Clean Electricity,Plasma Physics And Controlled Fusion,Bodansky| D,3,3
1991,Global Warming And Climate Change In Mexico,Global Environmental Change-human And Policy Dimensions,Liverman| Dm; Obrien| Kl,2,4
1991,Global Warming And Electric-power Generation - What Is The Connection,Ieee Transactions On Energy Conversion,Ula| Ahms,4,3
1991,Global Warming And Regional Rainfall - The Difference Between Average And High-intensity Rainfalls,International Journal Of Climatology,Yu| B; Neil| Dt,2,4
1991,Global Warming And The Insurance Industry,Nature & Resources,Berz| Ga,2,4
1991,Global Warming As A Manifestation Of A Random-walk,Journal Of Climate,Gordon| Ah,4,5
1991,Global What - Control Possibilities Of Co2 And Other Greenhouse Gases,Journal Of Engineering For Gas Turbines And Power-transactions Of The Asme,Springer| Kj,3,3
1991,Greenhouse Warming May Moderate British Storminess,Meteorology And Atmospheric Physics,Balling| Rc; Cerveny| Rs; Miller| Ta; Idso| Sb,2,3
1991,Greenhouse-effect And Coastal Wetland Policy - How Americans Could Abandon An Area The Size Of Massachusetts At Minimum Cost,Environmental Management,Titus| Jg,2,2
1991,Greenhouse-effect And Sea-level Rise - The Cost Of Holding Back The Sea,Coastal Management,Titus| Jg; Park| Ra; Leatherman| Sp; Weggel| Jr; Greene| Ms; Mausel| Pw; Brown| S; Gaunt| C; Trehan| M; Yohe| G,2,3
1991,Halocarbons In The Atmosphere - Trends And Vertical Profiles,Nippon Kagaku Kaishi,Tominaga| T; Makide| Y,4,3
1991,History And Pattern Of Disturbance In Alaskan Arctic Terrestrial Ecosystems - A Hierarchical Approach To Analyzing Landscape Change,Journal Of Applied Ecology,Walker| Da; Walker| Md,4,3
1991,Human Health-effects And Global Climate Change,Marine Technology Society Journal,Fouts| Jr; Piver| Wt,2,3
1991,Ice On Lake-ontario At Kingston,Journal Of Great Lakes Research,Gilbert| R,2,4
1991,Implications Of Co2 Global Warming On Great-lakes Ice Cover,Climatic Change,Assel| Ra,2,3
